dataset,LITE-mean,LITE-std,LITETime,Training Time (s)-mean,Testing Time (s)-mean,CO2eq Emissions (kg)-mean,Energy Consumption (kWh)-mean,Country,Region
GestureMidAirD3,0.455384615384615,0.030537589601968,0.507692307692308,92.5097023487091,0.574845552444458,0.0005861693578354,0.0020156784024877,Ireland,leinster
GesturePebbleZ1,0.918604651162791,0.0063688669477345,0.930232558139535,84.0425667762756,0.88525390625,0.0005361990288638,0.0018438439121193,Ireland,leinster
GesturePebbleZ2,0.927848101265823,0.0181679748030472,0.949367088607595,88.8461070537567,0.818931913375855,0.000412287986295,0.0014177472405739,Ireland,leinster
GunPoint,0.998666666666667,0.0026666666666666,1,119.883486270905,0.838340377807617,0.0005237972974077,0.0018011977008915,Ireland,leinster
GunPointAgeSpan,0.992405063291139,0.0025316455696202,0.993670886075949,68.9249634742737,0.70667781829834,0.0002935803351848,0.0010095436295278,Ireland,leinster
GunPointMaleVersusFemale,0.991772151898734,0.0025316455696202,0.993670886075949,63.3359415054321,0.591875886917114,0.0002691549935914,0.0009255514643539,Ireland,leinster
GunPointOldVersusYoung,0.977142857142857,0.0023756554836659,0.974603174603175,64.3984982967377,0.725520515441895,0.0002731343777068,0.0009392354935673,Ireland,leinster
Ham,0.748571428571429,0.0327707629220671,0.742857142857143,83.2551922798157,0.804248332977295,0.0003782034729308,0.0013005397875927,Ireland,leinster
HandOutlines,0.945945945945946,0.0070477863840028,0.962162162162162,1253.03107161522,0.963876008987427,0.0088611248071141,0.0304710194360969,Ireland,leinster
Haptics,0.543506493506494,0.0138663353922484,0.584415584415584,132.119985675812,0.855583620071411,0.0007884578189612,0.0027112938875235,Ireland,leinster
Herring,0.690625,0.0347985272676876,0.765625,119.464531373978,0.409515428543091,0.0005198785075898,0.0017877220391323,Ireland,leinster
HouseTwenty,0.979831932773109,0.0041167894836691,0.983193277310924,155.575845861435,0.909174728393555,0.0007197960810729,0.0024751846807071,Ireland,leinster
InlineSkate,0.511272727272727,0.047972443880845,0.556363636363636,141.677770328522,0.913036394119263,0.0008706321179805,0.0029938691493632,Ireland,leinster
InsectEPGRegularTrain,0.997590361445783,0.0019674616407897,0.995983935742972,125.482297086716,0.829399061203003,0.0005466432833232,0.0018797588876507,Ireland,leinster
InsectEPGSmallTrain,0.960642570281124,0.006425702811245,0.963855421686747,117.271700763702,0.578089714050293,0.0005162370701143,0.0017752001173101,Ireland,leinster
InsectWingbeatSound,0.603030303030303,0.0076927001069332,0.61969696969697,82.6526840686798,0.802023267745972,0.0003761419668708,0.0012934508239915,Ireland,leinster
ItalyPowerDemand,0.96754130223518,0.0014544829491832,0.965014577259475,57.9458685874939,0.815008497238159,0.0002568873764761,0.0008833664361898,Ireland,leinster
LargeKitchenAppliances,0.892266666666667,0.00687151932092,0.898666666666667,169.268219900131,0.84009952545166,0.0010387018864727,0.0035718157750821,Ireland,leinster
Lightning2,0.8,0.0122677291369637,0.770491803278689,130.932762670517,0.818033933639526,0.0005616279225498,0.0019312870224028,Ireland,leinster
Lightning7,0.819178082191781,0.0265626293557059,0.835616438356164,69.1886966228485,0.802208566665649,0.0002968009114107,0.0010206183229682,Ireland,leinster
Mallat,0.941918976545842,0.0166505818125364,0.957356076759062,133.088958454132,0.960855722427368,0.0006134138169504,0.0021093647528431,Ireland,leinster
